Name	Set	Imagefile	Primary	Secondary	Race	Alignment	Rarity	MPs	Specific	Skill	Mind	Direct	General	Prowess	Body	Corruption	Home	Unique	RegionType/Path	SiteType	Playable	GoldRing	GreaterItem	MajorItem	MinorItem	Information	Palantiri	Scroll	Hoard	Gear	Haven	Stage	Strikes	erratum	ice_errata	dreamcard	Text
No Escape from My Magic	METD	metd_noescapefrommymagic.jpg	Hazard	Permanent-event	-	Neutral	Rare	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.0	1.0	0.0	Playable on any unique faction in play. On the turns after it is played, this card affects the region that contains the site where this faction is playable and all adjacent regions. Each company moving with region cards using one or more of such regions must make a roll (Or draw a #) modified by +2 for each ranger in the company, by +1 for each scout, and by +1 for each diplomat. If the result is 12 or less, the company must do nothing during the site phase. Cannot be duplicated on a given faction. 
Noose of the Sea	METD	metd_nooseofthesea.jpg	Hazard	Long-event	-	Neutral	Uncommon	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	Affects each company with a Coastal Sea [c] in its site path. The on-going effects of all resource short-events that were played during the organization phase are cancelled for the duration of the movement/hazard phase and the site phase. Such short-events have no effect on this card (i.e., it may not canceled by such a short-event). 
Parsimony of Seclusion	METD	metd_parsimonyofseclusion.jpg	Hazard	Short-event	-	Neutral	Rare	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Return any Dragon manifestation to your hand from your discard pile. Alternatively, return any manifestation of Agburanar to your hand from your discard pile and increase the hazard limit by two.  ""...all the land was desolate and empty.""-Hob "
Passion of Wrath	METD	metd_passionofwrath.jpg	Hazard	Short-event	-	Neutral	Rare	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"A strike from a Dragon attack is modified by +2 prowess and -1 body. Alternatively, a strike from an attack by a manifestation of Smaug is modified by +4 prowess and -2 body.  ""At the twanging of the bows and the shrilling of the trumpets the dragon's wrath blazed to its height till he was blind and mad with it.""-Hob "
Peril Returned	METD	metd_perilreturned.jpg	Hazard	Long-event	-	Neutral	Common	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"If Gates of Morning is not in play, Doors of Night is considered to be in play. If Gates of Morning is in play, it is considered to be out of play while Peril returned is in play. Gates of Morning may still be removed normally (e.g., through the use of Twilight, Doors of Night, etc.).  ""A shadow came out of dark places far away, and the bones were stirred in the mounds.""-LotRI "
Prowess of Age	METD	metd_prowessofage.jpg	Hazard	Short-event	-	Neutral	Rare	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Targets and cancels any effect which (declared earlier in the same chain of effects) that would cancel an attack from a unique Dragon manifestation. Alternatively, gives a prowess bonus to a Dragon or Drake attack (must be played before its strikes are assigned) dictated by the number of Prowess of Age cards played on the attack: +1 prowess if 1 played; +4 if 2 played; +9 if 3 played.  ""'...Then I was young and tender. Now I am old and strong, strong, strong.'""-Hob "
Prowess of Might	METD	metd_prowessofmight.jpg	Hazard	Short-event	-	Neutral	Rare	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"A Dragon attack is modified by +1 to prowess and +1 to body. Alternatively, an attack by a manifestation of Scatha is modified by +2 to prowess and +2 to body.  ""'I am armoured above and below with iron scales and hard gems. No blade can pierce me.'""-Hob "
Rain-drake	METD	metd_raindrake.jpg	Hazard	Creature	Drake	Neutral	Common	1	-	-	-	-	-	15.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.0	0.0	-	0.0	"Drake. One strikes. Three Wildernesses [w] in the site path are required. May also be played at Ruins & Lairs [R] that has two Wildernesses [w] or one Coastal Sea [c] in its site path.  ""There are strange things living in the pools and lakes in the hearts of mountains.""-Hob "
Rumor of Wealth	METD	metd_rumorofwealth.jpg	Hazard	Short-event	-	Neutral	Uncommon	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Playable on a Ruins & Lairs [R] that is not a Dragon's Lair. Any one Dragon hazard creature (except Earcaraxe) may be played (and does not count against the hazard limit) at the site during the site phase this turn after the successful play of a major or greater item.  ""So the rumour of the wealth of Erebor spread abroad and reached the ears of the Dragons...""-LotR "
Sand-drake	METD	metd_sanddrake.jpg	Hazard	Creature	Drake Sand-drake	Neutral	Uncommon	1	-	-	-	-	-	12.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3.0	1.0	-	0.0	"Drake. Three strikes. Attacker chooses defending characters. May be played keyed to Khand and Harondor. If Doors of Night is in play, may also be played keyed to Ithilien, Nurn, and Horse Plains.  ""The chameleon of Harad roosts in the sandy wilds of the Dune Sea, although it hunts along trade routes and near oases.""-Kuduk Lore "
Scatha	METD	metd_scatha.jpg	Hazard	Creature	Dragon Cold-dragon	Neutral	Rare	5	-	Wyrm	-	-	-	15.0	9.0	-	-	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3.0	0.0	-	0.0	"Unique. May be played at Gondmaeglom. Dragon. Three strikes. If Doors of Night is in play, may also be played keyed to Withered Heath, Woodland Realm, Northern Rhovanion, and Grey Mountain Narrows; and may also be played at sites in those regions.  ""...son of Glaurung's first brood, whom they named simply 'the Worm.'""-Kuduk Lore "
Scatha Ahunt	METD	metd_scathaahunt.jpg	Hazard	Long-event	Dragon Cold-dragon	Neutral	Uncommon	5	-	Wyrm	-	-	-	13.0	8.0	-	-	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4.0	0.0	-	0.0	Unique. Any company moving in Withered Heath, Woodland Realm, Northern Rhovanion, and/or Grey Mountain Narrows immediately faces one Dragon attack (considered a hazard creature attack)-4 strikes at 13/8. If Doors of Night is in play, this attack also affects: Anduin Vales, Western Mirkwood, Heart of Mirkwood, and Gundabad. 
Scatha at Home	METD	metd_scathaathome.jpg	Hazard	Permanent-event	Dragon Cold-dragon	Neutral	Rare	5	-	Wyrm	-	-	-	16.0	9.0	-	-	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3.0	0.0	-	0.0	"Unique. Unless Scatha Ahunt is in play, Gondmaeglom has an additional automatic-attack: Dragon-3 strikes at 16/9. In addition, -1 to all influence attempts.  ""Above him the sleeping dragon lay, a dire menace even in his sleep.""-Hob "
Scorba	METD	metd_scorba.jpg	Hazard	Creature	Dragon Fire-dragon	Neutral	Rare	3	-	Winged	-	-	-	14.0	8.0	-	-	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3.0	1.0	-	0.0	"Unique. May be played at Zarak Dum. Dragon. Three strikes. Attacker chooses defending characters. If Doors of Night is in play, may also be played keyed to Forochel, Angmar, Gundabad; may also be played at sites in those regions.  ""As lithe as a viper, Scorba the Rubine employs cunning and trickery to toy with his foes before slaying them.""-Kuduk Lore "
Scorba Ahunt	METD	metd_scorbaahunt.jpg	Hazard	Long-event	Dragon Fire-dragon	Neutral	Uncommon	3	-	Winged	-	-	-	10.0	7.0	-	-	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4.0	0.0	-	0.0	Unique. Any company moving in Forochel, Angmar, and/or Gundabad immediately faces one Dragon attack (considered a hazard creature attack)-4 strikes at 10/7. If Doors of Night is in play, this attack also affects: Numeriador, Arthedain, and Rhudaur. 
Scorba at Home	METD	metd_scorbaathome.jpg	Hazard	Permanent-event	Dragon Fire-dragon	Neutral	Rare	3	-	Winged	-	-	-	13.0	8.0	-	-	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3.0	0.0	-	0.0	"Unique. Unless Scorba Ahunt is in play, Zarak Dum has an additional automatic-attack: Dragon-3 strikes at 13/8. In addition, each major item gives an additional corruption point.   ""'The dragon is still alive and in the halls under the Mountain then-or so I imagine from the smoke...'""-Hob "
Sea Serpent	METD	metd_seaserpent.jpg	Hazard	Creature	Drake	Neutral	Common	2	-	-	-	-	-	14.0	6.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	0.0	-	0.0	"Drake. Two strikes.   ""The multi-chambered lungs of the neniloki permit them to swim beneath the waves for an hour or more, while their long throats provide them the means to store enough water to spew in devastating blasts of spray.""-Kuduk Lore "
Searching Eye	METD	metd_searchingeye.jpg	Hazard	Short-event	-	Neutral	Common	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Cancel any card requiring scout skill before it is resolved or cancel any ongoing effect of a card that required scout skill to play. If this card is played as an on-guard card, it can be revealed during topponent's site phase to cancel a card requiring scout skill.   ""...up he soared blazing into the air and settled on the mountain-top in a spout of green and scarlet flame."" -Hob "
Shadow of Mordor	METD	metd_shadowofmordor.jpg	Hazard	Permanent-event	Environment	Neutral	Rare	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Environment. The hazard limit for each company is increased by one for every card over one drawn by that by that company during its movement/hazard phase. Additionally, if Doors of Night is in play, during each company's movement/hazard phase, the hazard player may draw one additional card for every card in excess of one draw by his opponent. Cannot be duplicated.   ""'...Alas! Mordor draws all wicked things...'"" -LotRI "
Sleepless Malice	METD	metd_sleeplessmalice.jpg	Hazard	Long-event	-	Neutral	Uncommon	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.0	-	0.0	"One Undead hazard creature against each company doesn't count against it's hazard limit. Additionally, if Doors of Night is in play, any Undead hazard creature may be played keyed to Ruins & Lairs [R]. Cannot be duplicated.   ""The night was railing against the morning of which it was bereaved, and the cold was cursing the warmth for which it hungered."" -LotRI "
Smaug Ahunt	METD	metd_smaugahunt.jpg	Hazard	Long-event	Dragon Fire-dragon	Neutral	Uncommon	5	-	Winged	-	-	-	15.0	7.0	-	-	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3.0	0.0	-	0.0	Unique. Any company moving in Withered Heath, Northern Rhovanion, Iron Hills, and/or Grey Mountain Narrows immediately faces one Dragon attack (considered a hazard creature attack)-3 strikes at 15/7 (attacker chooses defending characters). If Doors of Night is in play, this attack also affects: Brown Lands, Southern Rhovanion, Dorwinion, Dagorlad, and Horse Plains. 
Smaug at Home	METD	metd_smaugathome.jpg	Hazard	Permanent-event	Dragon Fire-dragon	Neutral	Rare	5	-	Winged	-	-	-	18.0	8.0	-	-	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	0.0	-	0.0	"Unique. Unless Smaug Ahunt is in play, The Lonely Mountain has an additional automatic-attack: Dragon-2 strikes at 18/8. In addition, each moving company draws one less card to a minimum of one at the start of it's movement/hazard phase.  ""'I have been that way twice, when I knew there was a dragon on the other end...'""-Hob "
Song of the Lady	METD	metd_songofthelady.jpg	Hazard	Long-event	-	Neutral	Rare	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.0	-	0.0	"At the end of the organization phase, each company at Lorien that wishes to move must make a roll (or draw a #). This roll is modified by: -1 if company contains any Men, -1 I company contains any Hobbits, +2 if company contains any Dwarves. If the result is less than 7, the company may not move this turn.  ""'...Rich are the hours, though short they seem, in Caras Galadon...'""-LotRII "
Stormcrow	METD	metd_stormcrow.jpg	Hazard	Permanent-event	-	Neutral	Common	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	The direct influence of each Wizard is reduced by 2 (by 4 if Doors of Night is in play). Discard all resource permanent-events that have been played on each company with a Wizard (i.e., on the company as a whole, not individual characters, e.g., Fellowship). No such cards may be played on each Wizard's company. Discard this card when any play deck is exhausted. Cannot be duplicated. 
Subtlety of Guile	METD	metd_subtletyofguile.jpg	Hazard	Short-event	-	Neutral	Rare	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	The body of one non-Wizard character wounded by a Dragon attack is lowered by 1 unil the end of the turn. Alternatively, lowers the body of one non-Wizard character wounded by a manifestation of Itangast by 2 until the end of turn or lowers the body check of each non-Wizard character in a company facing an attack by a manifestation of Itangast by one until the end of the turn. Cannot be duplicated on a given character or company. 
Thunder's Companion	METD	metd_thunderscompanion.jpg	Hazard	Creature	Giants	Neutral	Common	1	-	-	-	-	-	9.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3.0	0.0	-	0.0	"Giants. Three strikes. Two Wildernesses [w] in site path are required.  ""They could hear the giants guffawing and shouting all over the mountainsides.""-Hob "
Times Are Evil	METD	metd_timesareevil.jpg	Hazard	Long-event	-	Neutral	Uncommon	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"All offering attempts and influence attempts are modified by -3.  ""...they hid themselves in fear and would not come forth until the day was up, and the reckless strangers were gone.""-LotRV "
True Cold-drake	METD	metd_truecolddrake.jpg	Hazard	Creature	Drake	Neutral	Common	1	-	-	-	-	-	14.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	0.0	-	0.0	"Drake. Two strikes. May also be played keyed to Numeriador, Forochel, Angmar, Gundabad, Grey Mountain Narrows, Withered Heath, and Iron Hills.  ""The helkaloki comprise the oldest strain of dragon, bred by Morgoth as the ultimate expression of violence incarnate.""-Kuduk Lore "
True Fire-drake	METD	metd_truefiredrake.jpg	Hazard	Creature	Drake	Neutral	Common	1	-	-	-	-	-	13.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	0.0	-	0.0	"Drake. Two strikes. Three Wildernesses [w] in site path are required (only two Wildernesses [w] are required if Doors of Night is in play).  ""Fire leaped from the dragon's jaws.""-Hob "
Velocity of Haste	METD	metd_velocityofhaste.jpg	Hazard	Short-event	-	Neutral	Rare	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"A Dragon attack receives one additional strike (with no body). Alternatively an attack from a manifestation of Scorba receives two additional strikes (each with no body).  ""...so great was his speed, they could see him as a spark of fire rushing towards them and growing ever huger and more bright.""-Hob "
Were-worm	METD	metd_wereworm.jpg	Hazard	Creature	Drake	Neutral	Rare	2	-	-	-	-	-	13.0	6.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.0	0.0	-	0.0	"Drake. One strike. Attacker chooses defending characters. Defending company must discard one item of attacker's choice for each character wounded by Were-worm. Three Wildernesses [w] in site path are required.  ""'...if I have to walk from here to the East of East and fight the wild Were-worms in the Last Desert.'""-Hob "
Wild Fell Beast	METD	metd_wildfellbeast.jpg	Hazard	Creature	Drake	Neutral	Rare	2	-	-	-	-	-	12.0	6.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3.0	0.0	-	0.0	"Drake. Three strikes. Attacker chooses defending characters. Unless this attack is canceled, all untapped characters in defending company are tapped following attack. Two Shadow-lands [s] in site path are required.  ""A creature of an older world maybe it was, whose kind lingered in forgotten mountains cold beneath the Moon, outstayed their days, and in hideous eyrie bred this last untimely brood, apt to evil.""-LotRV "
Winds of Wrath	METD	metd_windsofwrath.jpg	Hazard	Short-event	-	Neutral	Rare	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.0	-	0.0	"Playable only if Doors of Night is in play. Replace the new site card of a moving company with a Coastal Sea [c] in its site path with a card from your location deck that has a Coastal Sea [c] in its site path.  ""The winds of wrath came driving him, and blindly in the foam he fled from west to east and errandless...""-LotRII "
Winged Cold-drake	METD	metd_wingedcolddrake.jpg	Hazard	Creature	Drake	Neutral	Uncommon	1	-	Winged	-	-	-	13.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	0.0	-	0.0	"Drake. Two strikes. Attacker chooses defending characters. Three Wildernesses [w] in site path are required.  ""Armoured by scales as tough as true-silver, winged cold-drakes display a slender grace when swooping with the winds.""-Kuduk Lore "
Winged Fire-drake	METD	metd_wingedfiredrake.jpg	Hazard	Creature	Drake	Neutral	Uncommon	1	-	Winged	-	-	-	12.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	0.0	-	0.0	"Drake. Two strikes. Attacker chooses defending characters. Three Wildernesses [w] or two Shadow-lands [s] in site path are required.  ""'As like as not it is the marauding fire of the Dragon, the only king under the Mountain we have ever known.'""-Hob "
Withered Lands	METD	metd_witheredlands.jpg	Hazard	Short-event	Environment	Neutral	Common	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Environment. Playable only if Doors of Night is in play. Treat one target Wilderness [w] as two Wildernesses [w] or one Shadow-land [s] as two Wildernesses [w] or one Border-land [b] as two Wildernesses [w] until the end of the turn.  ""...there were Dragons in the wastes beyond...""-LotR "
Wolf-riders	METD	metd_wolfriders.jpg	Hazard	Creature/Short-event	Orcs	Neutral	Common	1	-	-	-	-	-	8.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3.0	0.0	-	0.0	"Orcs. May be played following any Orc attack not keyed to a site. Three strikes. If played as a short-event, modify the prowess and strikes of a Wolf attack by +1.  ""But in those days they sometimes used to go on raids...they often got the wargs to help and shared their plunder with them. Sometimes they rode on wolves like men do on horses.""-Hob "
Worm's Stench	METD	metd_wormsstench.jpg	Hazard	Short-event	-	Neutral	Uncommon	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	Playable on a company that has already faced a Dragon or Drake attack this turn. The prowess of each Spider and Animal attack against the company is increased by two for the rest of the turn. Additionally, if Doors of Night is in play, all Wolf attacks receive +2 prowess and all Wolf, Spider, and Animal attacks receive +1 strikes for the rest of turn against the company. 
Worn and Famished	METD	metd_wornandfamished.jpg	Hazard	Long-event	-	Neutral	Common	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Each non-Wizard character that is not in a Haven [H], Free-hold [F], or Border-hold [B] does not untap normally during his untap phase. Such a character may instead make a roll (or draw a #) adding his mind stat. If the result is greater than 12, he untaps. Cannot be duplicated.  ""'We are worn and famished after out long road and we have sick comrades.'""-Hob "
A Short Rest	METD	metd_ashortrest.jpg	Resource	Long-event	-	Hero	Common	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.0	-	0.0	"Each moving company may draw an extra card for each region less than four in its site path.  ""That day he looked at the swords they had brought from the trolls' lair, and he said: 'These are not troll-make.'""-Hob "
Adamant Helmet	METD	metd_adamanthelmet.jpg	Resource	Minor Item	Hoard Helmet	Hero	Common	-	-	-	-	-	-	-	1.0	1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Hoard item. Helmet. +1 to body to a maximum of 9. Cancels all dark enchantments targetting bearer.  ""...of adamant his helmet tall...""-LotRII "
Alert the Folk	METD	metd_alertthefolk.jpg	Resource	Short-event	-	Hero	Uncommon	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	Playable on a company facing a Dragon or Drake attack (not Earcaraxe). Discard from your hand and one or two factions playable at sites in Northern Rhovanion, Iron Hills, Woodland Realm, or Anduin Vales. All characters facing the attack gain a bonus to their prowess equal to the total Marshaling point values (as printed on their cards) of the factions discarded. 
And Forth He Hastened	METD	metd_andforthhehastened.jpg	Resource	Short-event	-	Hero	Common	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Untap a character in your Wizard's company.  ""Enchantment healed his weary feet... And forth he hastened, string and fleet...""-LotRI "
Arrows Shorn of Ebony	METD	metd_arrowsshornofebony.jpg	Resource	Minor Item	Hoard	Hero	Uncommon	-	-	Warrior	-	-	-	-1.0	-2.0	1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Hoard item. Warrior only: discard Arrows Shorn of Ebony to modify a strike from a hazard creature attack not keyed to a site by -1 prowess, -2 body. If this strike is defeated, all other subsequent failed strikes from this attack are automatically defeated.  ""...his arrows shorn of ebony...""-LotRII "
Belegaer	METD	metd_belegaer.jpg	Resource	Short-event	-	Hero	Common	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.0	1.0	0.0	Playable during organization phase on a company moving without region cards. Company may move from a site of origin in one of the following regions to a site in one of the following regions: Lindon, Elven Shores, Eriadoran Coast, Andrast Coast, Bay of Belfalas, Mouths of the Anduin, Enedhwaith, Old Pukel-land, Andrast, Anfalas, Belfalas, Lebennin, and Harondor. The site path is [c] [c] [c] and the hazard limit is decreased by two to a minimum of two. 
Bounty of the Hoard	METD	metd_bountyofthehoard.jpg	Resource	Short-event	-	Hero	Common	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Playable during the site phase. One minor or major item may be played at a tapped site that contains a hoard.  ""'Mr. Baggins!' he cried. 'Here is the first payment of your reward! Cast off your old coat and put on this!'"" -Hob "
Bow of Dragon-horn	METD	metd_bowofdragonhorn.jpg	Resource	Major Item	Hoard Bow	Hero	Uncommon	2	-	Warrior	-	-	-	-	-	2.0	-	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-1.0	1.0	-	0.0	"Unique. Hoard item. Warrior only: tap Bow of Dragon-horn to reduce the number of strikes from one hazard creature attack not keyed to a site by one (to a minimum of one).  ""...his bow was made of Dragon-horn...""-LotRII "
Burglary	METD	metd_burglary.jpg	Resource	Short-event	-	Hero	Common	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	Tap a character to make a burglary attempt at a site in lieu of facing its automatic-attacks. Tap the site and make a roll (or draw a #) modified by +2 if the character is a scout and by +3 if he is a Hobbit. If the result is greater than 10, an item normally playable at the site may be played with the character. If the attempt fails, the character must face all automatic-attacks alone. 
Cloudless Day	METD	metd_cloudlessday.jpg	Resource	Long-event	Environment	Hero	Uncommon	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Environment. Playable only if Gates of Morning is in play. Whenever a company faces a hazard creature attack, the defender may choose which characters in the company will be the targets of the attack's strikes (regardless of tapped status, wounded status, and the normal abilities of the attack).   ""...they watched the dawn grow slowly in the sky, now bare and cloudless..."" -LotRIII "
Cram	METD	metd_cram.jpg	Resource	Minor Item	Food	Hero	Common	-	-	-	-	-	-	-	-	1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.0	-	0.0	"Discard to untap bearer. Alternatively, discard during the organization phase to allow its bearer's company to play an additional region card.  ""If you want to know what cram is...it is biscuitish, keeps good indefinitely, is supposed to be sustaining, and it is certainly not entertaining, being in fact very uninteresting except as a chewing exercise.""-Hob "
Dragon-feuds	METD	metd_dragonfeuds.jpg	Resource	Short-event	-	Hero	Uncommon	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Playable during the organization phase. For the rest of the turn, you may discard a Dragon or Drake hazard creature from your hand to cancel a Dragon or Drake attack against any of your companies.   ""'...There were lots of dragons in the North in those days, and gold was probably getting scarce up there...'"" -Hob "
Dragon-lore	METD	metd_dragonlore.jpg	Resource	Permanent-event	Lore	Hero	Uncommon	1	-	-	-	-	-	-	-	2.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.0	-	0.0	"Playable on a sage during the site phase at an untapped site where ""Information"" is playable. Tap the sage and the site. During a site phase at a tapped Dragon's lair, tap bearer and discard Dragon-lore. Search your play deck and/or discard pile for any item playable at the Dragon's lair. This item may be immediately played with the bearer's company.   ""...they all began discussing dragon-slayings historical, dubious, and mythical..."" -Hob "
Dragon's Hunger	METD	metd_dragonshunger.jpg	Resource	Short-event	-	Hero	Rare	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.0	1.0	0.0	"Playable on a Dragon or Drake attack. If one is available, opponent must discard a hazard creature from his hand; this reduces the company's hazard limit by one. Otherwise, the attack is canceled and the opponent must reveal his hand.   ""The ponies screamed with terror, burst their ropes, and galloped wildly off. The dragon swooped and turned to pursue them..."" -Hob "
Dwarven Hoard	METD	metd_dwarvenhoard.jpg	Resource	Short-event	-	Hero	Common	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Tap a Dwarf at a Dark-hold [D] or Shadow-hold [S]. The site is considered to contain a hoard until the end of turn.   ""...they lifted old treasures from the mound or from the wall and held them in the light, caressing and fingering them."" -Hob "
Echo of all Joy	METD	metd_echoofalljoy.jpg	Resource	Permanent-event	-	Hero	Uncommon	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Play on a resource long-event if Doors of Night is not in play. The long-event is not discarded as normal during the long-event phase. Discard Echo of All Joy and target when any play deck is exhausted or when Doors of Night comes into play.   ""It fell upon his ears like the echo of all the joys he had ever known."" -LotRVI "
Elf-path	METD	metd_elfpath.jpg	Resource	Short-event	-	Hero	Common	-	-	Elf	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Playable only at the end of the organization phase. Tap an Elf. If his company's site path only has one or two regions with no Dark-domains [d] and no Shadow-lands [s], opponent may only play hazards hazard creatures this turn that are keyed to the company's site.   ""'...It is not our custom, but for this time we will take you on our road...'"" -LotRI "
Emerald of Doriath	METD	metd_emeraldofdoriath.jpg	Resource	Minor Item	Hoard Jewel	Hero	Uncommon	-	-	-	-	-1.0	-	-	-	1.0	-	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.0	-	0.0	"Unique. Hoard item. +1 to direct influence against Elves and Elf factions. If bearer is a Wizard, your general influence is increased by two.   ""'Aragorn insisted on my putting in a green stone. He seemed to think it important.'""-LotRII "
Emerald of the Mariner	METD	metd_emeraldofthemariner.jpg	Resource	Greater Item	Hoard Jewel	Hero	Rare	3	-	-	-	-	-	-	-	-1.0	-	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.0	-	0.0	"Unique. Hoard item. Bearer receives +1 all of his corruption checks. Controlling player may keep one more card than normal in his hand. This item gives zero corruption points.   ""...upon his breast an emerald.""-LotRII "
Enruned Shield	METD	metd_enrunedshield.jpg	Resource	Greater Item	Hoard Shield	Hero	Uncommon	3	-	-	-	-	-	-	3.0	2.0	-	unique	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	0.0	"Unique. Hoard item. Shield. +3 to body to a maximum of 10. Warrior only: tap Enruned Shield to cause one strike against bearer to be ineffectual (i.e., it doesn't fail and it is not successful).   ""...his shining shield was scored with runes to ward all wounds and harm from him...""-LotRII "
